user,from wS/stS (S),from wOS/stS (S),Total (S),Distribution %,Compensation (S),,,
0x5d0f0bdd500abcdff6d090a41c96edcc54eb1f28,"6,679",0,"6,679",0.02%,"1,435.10",,,
0xf0754756e71aac7ad2b6497e7006f5e44d68d592,"6,565",0,"6,565",0.02%,"1,410.56",,,
0x911d28e2b0b2cb530212b61e8fe7dbf5b7030623,"6,391",0,"6,391",0.02%,"1,373.20",,,
0x8b575aca87eec0e9992d6e5b328a769cf66c21b0,"6,221",0,"6,221",0.02%,"1,336.80",,,
0xa380dace2095adc258d2be066e2a60a9dbacf7ad,"6,132",0,"6,132",0.02%,"1,317.61",,,
0xadb9a7cc511ab7a81a24c8d85fc6165a93567b87,"6,113",0,"6,113",0.02%,"1,313.51",,,
0x57660ab4ee1332b6384eafee59cf989ddd81b997,"6,106",0,"6,106",0.02%,"1,311.91",,,
0x04dc7b2e1fd595b0dc9f8374391b6278de91e6b3,"5,917",0,"5,917",0.02%,"1,271.35",,,
0x2761783dc3f68263a44088d75ababc048d8f03b4,"5,899",0,"5,899",0.02%,"1,267.43",,,
0x5a0ea806a8f713249ba650ec859edc9ab9e78f08,"5,761",0,"5,761",0.02%,"1,237.85",,,
0xc325219e286bd4fbc7b49b2f0138f18c7622907b,"5,650",0,"5,650",0.02%,"1,213.93",,,
0x51138d94d6713fbc2e30c31707e95ad5e4638d47,"5,616",0,"5,616",0.02%,"1,206.75",,,
0x4a4f62950ec25bff5267d52e79250aba3f77ad24,"5,412",0,"5,412",0.02%,"1,162.95",,,
0x9ccd69e2ba2885cf4b8bda713e578e04db65e4db,"5,376",0,"5,376",0.02%,"1,155.06",,,
0xa75936cc7e1a34f6d2c183639cdcf26026283611,"5,368",0,"5,368",0.02%,"1,153.31",,,
0x1fd4836367503dce62aa6dd3817a9e069cccda1f,"5,314",0,"5,314",0.02%,"1,141.87",,,
0xfda858674e8c92916e98a9e84a742f307218548b,"5,244",0,"5,244",0.02%,"1,126.73",,,
0xeef766b41dbae10fe5f7f2ecf56a2200ddf90782,"5,240",0,"5,240",0.02%,"1,126.00",,,
0x0cd0854f76daa3d07e27c6d9260cbac54d1d2ee4,"5,218",0,"5,218",0.02%,"1,121.19",,,
0x850323da3f1e7f852509737ec648284459ae3440,"5,193",0,"5,193",0.02%,"1,115.81",,,
0xc424af27cb2ca2506f7d544daeb0bee4bf59639c,"5,175",0,"5,175",0.02%,"1,111.95",,,
0x9d6a31691519245d0ec83b8e996f851b9be787d1,"5,145",0,"5,145",0.02%,"1,105.57",,,
0x68c6de5945aa614e0622c82ff41f2978f60a95a7,"5,093",0,"5,093",0.02%,"1,094.24",,,
0xdec641999c6fa7c74d98041d49fc83ae7f7281e9,"5,080",0,"5,080",0.02%,"1,091.62",,,
0xd3ce732ba1a1cf4556d9ee318331f2b6cedb58ab,"5,033",0,"5,033",0.02%,"1,081.36",,,
0x7736a2793474a84b6883fc3cc95d597b726c78f4,"5,020",0,"5,020",0.02%,"1,078.74",,,
0xdf5e92e18c282b61b509fb3223bac6c4d0c8dee6,"5,016",0,"5,016",0.02%,"1,077.87",,,
0x175fb20b9b5bcf80a0167d403405e6f3a074cfa0,"5,012",0,"5,012",0.02%,"1,077.01",,,
0x16c39f880253f70f0273566ead430c931ba3e8aa,"4,963",0,"4,963",0.02%,"1,066.35",,,
0x0e07672811d4eb22c7ef9f3ebb155cf17f9b2304,"4,920",0,"4,920",0.02%,"1,057.19",,,
0x8114e8d393915a02eae20bd60c30e776e9f56d38,"4,914",0,"4,914",0.02%,"1,055.94",,,
0x17e6489de6d59231899076874344e1474f197932,"4,900",0,"4,900",0.02%,"1,052.80",,,
0x26fad00b5e8bbd2cf4b39196de32af8c35e1f74a,"4,805",0,"4,805",0.02%,"1,032.45",,,
0xa786c7367a657fd230d52d2a8e615aba66a67f71,"4,753",0,"4,753",0.02%,"1,021.38",,,
0x685dcbc1aff2c2fb41d0747aa125b28e93150d54,"4,685",0,"4,685",0.02%,"1,006.58",,,
0x8ff8aba1c8bd3c607a650d15ff1e3662aac92b4b,"4,581",0,"4,581",0.02%,984.35,,,
0x7ece13f2fee7f2ff9cfb56b1f6d1ef2a787d68d7,"4,522",0,"4,522",0.02%,971.70,,,
0xb0707ee699c79950d57a1005ffe3649707fdd63d,"4,434",0,"4,434",0.02%,952.79,,,
0xa5ecc068db75ffb36d157625b08e747895a03d18,"4,431",0,"4,431",0.02%,952.19,,,
0xd237637a4419327f7ef8238d3c95eb81b60ea081,"4,395",0,"4,395",0.02%,944.29,,,
0xec356dd6d26a8be954242d735b7eb86eb83fac6b,"4,380",0,"4,380",0.02%,941.15,,,
0xa6e562e5d24feca0fb1c690d9834e52de0cb51b1,"4,340",0,"4,340",0.02%,932.45,,,
0x37e6d2fa82515b84552fbe48ad18f55f9417fa12,"4,199",0,"4,199",0.02%,902.30,,,
0x8dbfe8762e7c469ad14cbfab171e484e132e2f1a,"4,149",0,"4,149",0.02%,891.39,,,
0x7e639a0879ef119fd6a392ce78a029e88699f07c,"4,147",0,"4,147",0.02%,891.06,,,
0x6acf4009edaefa30a9d7df94b7bc9eef271bb36a,"4,145",0,"4,145",0.02%,890.71,,,
0x51cc87dc2d12614c1d3e1f8a6045aefd9c549bfc,"4,119",0,"4,119",0.02%,885.00,,,
0x40bb3b31b79fc48d46a19bd52099a4bfafeed489,"4,114",0,"4,114",0.02%,883.99,,,
0xa06f9b60f47564c43aa9ac8bb3cca9e92aae891a,"4,110",0,"4,110",0.02%,883.19,,,
0xb3599fad8066651c513698a77d6e8da34f218bfa,"4,089",0,"4,089",0.02%,878.66,,,
0xbb36adbb518986ed7bcf79ae87b14984549a425f,"4,045",0,"4,045",0.01%,869.10,,,
0x21e4558616f9304e33751240b6ac21b8c10e9e90,"4,042",0,"4,042",0.01%,868.50,,,
0x33126050727566fbdd52a7f7f29ebab941b70fed,"4,022",0,"4,022",0.01%,864.20,,,
0x4e032950eee12907168a38a2be364d0b11ff6dc8,"3,976",0,"3,976",0.01%,854.23,,,
0x5e53ce97fcd3abe46f1ab45abb3e9a9c5e19f193,"3,925",0,"3,925",0.01%,843.31,,,
0xef9f0b6d5e89c0ac3b729678ba0f45c81ef16056,"3,904",0,"3,904",0.01%,838.78,,,
0xcffb39005a8dab478ef4188ae1b912f6e28ee3d3,"3,890",0,"3,890",0.01%,835.78,,,
0xde788027b839912bdddf43a3b6ef9be948cdf6eb,"3,852",0,"3,852",0.01%,827.72,,,
0x3734a56df481c5b168cd14a20545f62db03568d2,"3,830",0,"3,830",0.01%,822.85,,,
0x96b922ae3a0ad0f736bfe6ffe84100554da67245,"3,814",0,"3,814",0.01%,819.62,,,
0x28922875971cfa39ad1d60495c5f526324c4c429,"3,766",0,"3,766",0.01%,809.30,,,
0xa39ae9700c64d0351284e226e84e2d64dd5b2252,"3,758",0,"3,758",0.01%,807.38,,,
0x313fe1a98e99b15a981e479a9788be4d43db10d0,"3,739",0,"3,739",0.01%,803.48,,,
0x08a9b4221a84bb39faa7d6fe0f7664efec9511ac,"3,703",0,"3,703",0.01%,795.67,,,
0x53c708e3c8763356cd9e72997b1f75fde82e2221,"3,665",0,"3,665",0.01%,787.43,,,
0xad4b6b04e67edb63f951103283dc2e5dddcb0046,"3,621",0,"3,621",0.01%,777.98,,,
0x7cb6f13176b935b58c0517da9dddc1bcd475ed5f,"3,611",0,"3,611",0.01%,775.84,,,
0x6f4a1a8b9e89113a6847751b70cabf9dfb85db0a,"3,610",0,"3,610",0.01%,775.72,,,
0x609470c2f08ff626078ba64ceb905d73b155089d,"3,563",0,"3,563",0.01%,765.65,,,
0x42599f1faeb18bcc0c6a88066b439ce90373b0e4,"3,551",0,"3,551",0.01%,763.03,,,
0xc008a3b7193bd481977627c8ca1ff18bc864b13b,"3,548",0,"3,548",0.01%,762.31,,,
0xc880a9b8a06c4a24245795d585a04ebdadb28c79,"3,514",0,"3,514",0.01%,755.06,,,
0xef0730ac28b064a5a939ed096abdc39ca5376afb,"3,478",0,"3,478",0.01%,747.27,,,
0xbb0c1e9297b0d851402475dc6689ae5ffcb9bbd9,"3,472",0,"3,472",0.01%,745.97,,,
0xabff835c1c68a776ee502df6b2136315e9a985ee,"3,450",0,"3,450",0.01%,741.36,,,
0xaa9885dd014cc6fefad6eb8fb28dcddf32b809a7,"3,328",0,"3,328",0.01%,715.04,,,
0xbf093e725acde76c88be14285eae68b57a8fad46,"3,299",0,"3,299",0.01%,708.90,,,
0x2cba364e4c0c7ae1f5eaabfa7f5d88ddea60d337,"3,296",0,"3,296",0.01%,708.29,,,
0xaf884fc78e7446e3e11e8e4c7d4e2085b8aaf956,"3,293",0,"3,293",0.01%,707.49,,,
0xb706e639cd0c29b7749506969f3d92f3087f4443,"3,274",0,"3,274",0.01%,703.46,,,
0xbdfaf011bfb1a0c8bdce7fa2add4e3aab635c909,0,"3,272","3,272",0.01%,703.13,,,
0x308db9f0fb864549e44220598ba83b598d7e8e18,"3,200",0,"3,200",0.01%,687.64,,,
0x6210a939be99494ab62386ca5a11792e1b62a1ad,"3,175",0,"3,175",0.01%,682.19,,,
0x40e425e8abbb9dc43da0e8b2788114d90bd104e5,"3,135",0,"3,135",0.01%,673.63,,,
0x30cceeec52c250ac839fdf8255d0f14be9359290,"3,118",0,"3,118",0.01%,669.94,,,
0xf5e4e7d9a9654621301ca66cc68d684f84574262,"3,103",0,"3,103",0.01%,666.67,,,
0x93cf7f6e173a58cc57939f1666a06027d7b18382,"3,102",0,"3,102",0.01%,666.51,,,
0x9a3187617dceed6950430ebb368e664b7e9e7062,"3,091",0,"3,091",0.01%,664.12,,,
0xc18834fb8e10af526be91eff3fac4375ecfe0602,"3,085",0,"3,085",0.01%,662.92,,,
0x3c0c7b44c1f9366271f5c491121a1f7d55d33ef5,"3,083",0,"3,083",0.01%,662.47,,,
0xb7f566559fcdff417fac81c22c14b43d7c8fe1c9,"3,079",0,"3,079",0.01%,661.69,,,
0x60605cdda30de4098c243bedb01fa8bd38710c86,"3,075",0,"3,075",0.01%,660.62,,,
0x476e62b30e2587ea937c19e2b60781e334fa29d7,"3,070",0,"3,070",0.01%,659.71,,,
0x8b7a6fec5c6638c1d667ef8126b457fec09376eb,"3,052",0,"3,052",0.01%,655.71,,,
0x4d563a595b04e7fa1dc62645d9dd691f772ef3ae,"3,044",0,"3,044",0.01%,654.04,,,
0xa2a7624aa15f31ecce9d934160dc99caefee25fa,"3,034",0,"3,034",0.01%,651.91,,,
0x448dda0898d8aa2f76ba70bccff0694811368ccc,"3,008",0,"3,008",0.01%,646.39,,,
0x853a348cdd853b36fee1701e204e1525f2dc63eb,"3,005",0,"3,005",0.01%,645.74,,,
0xbffc429c38d2d597847608b2a5f3b2e090a12668,"2,999",0,"2,999",0.01%,644.43,,,
0x369606edde71fb6ec43353330796544852bad340,"2,981",0,"2,981",0.01%,640.62,,,
0x8ef64d965faa189b4096467ec96ce8474114062d,"2,934",0,"2,934",0.01%,630.51,,,
0xa520bf0c12c2cc14143f3c8e890f57391843baa2,"2,934",0,"2,934",0.01%,630.38,,,
0xbf1b890f92b2f7deb2863ba79ec7420c04ae9571,"2,933",0,"2,933",0.01%,630.15,,,
0xfe2575c6402e56fa977651ea30bbfa0d3b4ae578,"2,909",0,"2,909",0.01%,625.03,,,
0xca71196890e67d2983c940dfd2dd8d15e49cd7ff,"2,906",0,"2,906",0.01%,624.32,,,
0x99349957ea9c3c4120751018ab074e79c34e0611,"2,904",0,"2,904",0.01%,624.07,,,
0x7a9e5f58460c5e851e0cbbc63097e97ef92cbfc2,"2,877",0,"2,877",0.01%,618.23,,,
0x17b72bf643a1c8356d2bb264a42bfcd4dfa3661c,0,"2,864","2,864",0.01%,615.34,,,
0x99ae44e50cc12ff2b37fb45ef227d7c47fb802a2,"2,833",0,"2,833",0.01%,608.74,,,
0x19036529a90a52814dbd324f2c73b18fecdaccf6,"2,796",0,"2,796",0.01%,600.81,,,
0x9ba2f18ef99acc002a39b20c1ead2fbbf0af464b,"2,770",0,"2,770",0.01%,595.23,,,
0x9aa8cc57ef8793975f60e23611af8804070a4f22,"2,767",0,"2,767",0.01%,594.49,,,
0x04650ba67b062200b89537a832536be71f3e764b,"2,754",0,"2,754",0.01%,591.67,,,
0x00643d6c7c33ede6e006fdf21bd6bcf52bdf23db,"2,702",0,"2,702",0.01%,580.53,,,
0xd4357cf9b5466fe61778baa2c463fcfba84cce19,"2,679",0,"2,679",0.01%,575.70,,,
0xa7d48c20edc414736d65062d7aee697891a964c2,"2,667",0,"2,667",0.01%,572.99,,,
0x675533510c228eb91a860d66906c66d76d9a1a79,"2,653",0,"2,653",0.01%,569.96,,,
0x443e8b3848dbd6ad8fbf8a6517fb513052730d21,"2,649",0,"2,649",0.01%,569.12,,,
0x7c99747a7f0242e002acd4e64048274c2ee17d73,"2,583",0,"2,583",0.01%,554.91,,,
0x7f879e09ed38570bde841604929039f2954a1442,"2,566",0,"2,566",0.01%,551.41,,,
0x2371e3710a45e29de6075255c1c7b0a9276a0375,"2,546",0,"2,546",0.01%,547.13,,,
0x3e6edba22d9ce22a7168406d26598ae20fe08e41,"2,533",0,"2,533",0.01%,544.18,,,
0x329f4435e0f22899b733756c71aa12c1004146b1,"2,519",0,"2,519",0.01%,541.22,,,
0x0cbd39f71c68dfe81a89d39c24100f44374282d7,"2,515",0,"2,515",0.01%,540.31,,,
0x69da58fff827b1cf91677b72b8fc515f61784762,"2,499",0,"2,499",0.01%,536.89,,,
0x12820742dceafadb7fa74ab5ed8fc7e6b8c75850,"2,498",0,"2,498",0.01%,536.74,,,
0xef3fb6c6935a1bc8bc76a5f5879f747c21b87de0,"2,481",0,"2,481",0.01%,533.18,,,
0xa8182c71b0ea7ffb45f88b39ecd65ed4690e7760,"2,456",0,"2,456",0.01%,527.73,,,
0x3c4e589a9921a48bf5861c440c40a4d7a5c828eb,"2,448",0,"2,448",0.01%,526.10,,,
0x5d093dc86c31152cae184a8505ee8347a39c1871,"2,439",0,"2,439",0.01%,524.11,,,
0x96a2e71bebc0d7bb15e1b1ddab1ce6a011c9bfc4,"2,420",0,"2,420",0.01%,519.94,,,
0xdf3d9c920c5b2473e12e4a7caaddbfee1fe80e89,"2,394",0,"2,394",0.01%,514.29,,,
0x7b505c78f177f3ae622e00a01f1eb452f1b79bb9,"2,393",0,"2,393",0.01%,514.16,,,
0x6ad1e3c944d6fbed0fd47d21bf99bad689607454,"2,389",0,"2,389",0.01%,513.31,,,
0x17451598bf282da2367e3fd1823f871f4b42b9f9,"2,365",0,"2,365",0.01%,508.24,,,
0x3a9c81fa92136c8062cf4fc838e9032c54ad2356,"2,358",0,"2,358",0.01%,506.65,,,
0x1b8ae81bcd786c29db0f224ad41d2636e3ed01e2,"2,342",0,"2,342",0.01%,503.28,,,
0x05e7c892cb3c35b5b3c2f0873d515241b44acac7,"2,332",0,"2,332",0.01%,501.00,,,
0x6fdebbe69502605eb419ddab90121ec5042cba5c,"2,303",0,"2,303",0.01%,494.86,,,
0xba25bdb49c260741896feaa60bbdc34dafc9fcc0,"2,289",0,"2,289",0.01%,491.78,,,
0x1e4fbbea6f670c7f1bb87a04757c421feb8ee952,"2,275",0,"2,275",0.01%,488.72,,,
0x13f9495aca0b71b6e34efd0bdd4c6b403a4502a1,"2,266",0,"2,266",0.01%,486.90,,,
0x83192296434629e0c6ba70707a1a33affaa192cc,"2,240",0,"2,240",0.01%,481.30,,,
0xa56e486411fabd50d8f2f067124afba65da364e8,"2,217",0,"2,217",0.01%,476.36,,,
0x445f1099bb2b5953636074f20aebe8d06b1703e1,"2,202",0,"2,202",0.01%,473.05,,,
0x875c13991556e39aa28dfe8f58d3888e424c15d8,"2,176",0,"2,176",0.01%,467.45,,,
0x55a836ad1fd8361c5d05afc9afa634b87c898ad3,"2,171",0,"2,171",0.01%,466.51,,,
0x5370b3ca55bb561e7bc050c81848873b9bcebbec,"2,160",0,"2,160",0.01%,464.06,,,
0xb99673cf380a70517b81793faa3ee95fcfa690a2,"2,148",0,"2,148",0.01%,461.60,,,
0x770d63595c05742d21787a3357ce9e4a9ad392b1,"2,142",0,"2,142",0.01%,460.29,,,
0x7b8f6466a64d883e1ec7180923bfeac2c2a59679,"2,142",0,"2,142",0.01%,460.15,,,
0xd5251f5e442c403310435fb5ceb0a5500d8d36e3,"2,081",0,"2,081",0.01%,447.08,,,
0xeb4b6b77aa957ad9d1c7d7175538800411d4dd01,"2,078",0,"2,078",0.01%,446.55,,,
0x6c2e73d510d9df0b154bb8a0abca71d2ceb27883,"2,067",0,"2,067",0.01%,444.23,,,
0x8fb2770a0f0072ce69b393ecee39f8722c02cb11,"2,067",0,"2,067",0.01%,444.21,,,
0x6d8fdcca77aa74729342fbd04b52c46ae53a0e43,"2,065",0,"2,065",0.01%,443.79,,,
0x37511741558dcdafad302a726a2a0c7cc154e86b,"2,063",0,"2,063",0.01%,443.21,,,
0x800f91aa25b91ee3bbc1cce1dddff43cd2e62076,"2,062",0,"2,062",0.01%,443.07,,,
0x3d52d86176e4f792421dc74919ff0cfa155d6043,"2,057",0,"2,057",0.01%,442.01,,,
0xf5d6d714901c01a96141ac10b8fb72ba699f0566,"2,053",0,"2,053",0.01%,441.20,,,
0x4f27c329975f7146d4b17105444e7da02165dbed,"2,053",0,"2,053",0.01%,441.17,,,
0xde5e627e595ddb1065a936b1ec624c89b21d85aa,"2,041",0,"2,041",0.01%,438.59,,,
0x0aaf0d1eaa181131b9cd4cd9b8b9440e2cd57bb2,"2,041",0,"2,041",0.01%,438.57,,,
0x31d488d921465727131941ec944b5b0f7fa58882,"2,036",0,"2,036",0.01%,437.49,,,
0xa2c12dd46eb80ad3ebfb9f07b0293b2e076bfc5b,"2,028",0,"2,028",0.01%,435.72,,,
0x8777956995e45725d262775b2033772a78f47009,"2,023",0,"2,023",0.01%,434.66,,,
0x4342ed9edb5276dc98dcee1e971f15d0dc9d359f,"2,007",0,"2,007",0.01%,431.28,,,
0x540174021c2c29ad60353a3b7a3ea74bbfe31978,"2,001",0,"2,001",0.01%,430.01,,,
0x7243f4a1afa31712437fa254c050b9d58b4b3306,"1,998",0,"1,998",0.01%,429.36,,,
0x39d3b78396de161f74933b3d43bd6792cc874cce,"1,977",0,"1,977",0.01%,424.88,,,
0xb5f69d0cbd702d713767c5442122c156bd6c971c,"1,960",0,"1,960",0.01%,421.21,,,
0x1fe662fd946e832aabed2e96d0180d2b91718fe6,"1,954",0,"1,954",0.01%,419.78,,,
0x2ea2ce595bd68a0cd1fd34b06df98970952fe4d2,"1,944",0,"1,944",0.01%,417.76,,,
0xccca25ac5c1615ba9b4f0225ebaed20168ad1434,"1,939",0,"1,939",0.01%,416.58,,,
0x78ff6a5f1bc5e89ae3b49d300e2137490f95b9eb,"1,938",0,"1,938",0.01%,416.34,,,
0xfc027782f4195fb3c0affaf7850cc9bc440db4a0,"1,926",0,"1,926",0.01%,413.94,,,
0x92170e2e247ffc40dcac78d5acf6f0c0e4bad075,"1,920",0,"1,920",0.01%,412.47,,,
0x372244cdff09fc65b8f2e0076a3bcf5117554dd3,"1,900",0,"1,900",0.01%,408.25,,,
0x7293b5adb436ab85ab6b1637f532dea8a94ba29b,"1,860",0,"1,860",0.01%,399.73,,,
0x923427ba98ce1a8eaa1f39df809c971306895969,"1,860",0,"1,860",0.01%,399.61,,,
0x910bd94fbe21ad95902b4ce2f57a83c898c1c822,"1,850",0,"1,850",0.01%,397.48,,,
0x29e2c919e36c0583582bf5e39ff542e3c8b88c47,"1,844",0,"1,844",0.01%,396.23,,,
0xc63e882a0569fd03098e2bc776cff6afbe2c6fec,"1,820",0,"1,820",0.01%,391.04,,,
0x35dddcae46f6d693dffa0a756fc3646499049c03,"1,818",0,"1,818",0.01%,390.66,,,
0x657de50cd601e1365878502496d855bc851d12be,"1,818",0,"1,818",0.01%,390.57,,,
0x0637befb065b9190e51e2f658580ca7e8ffe02de,"1,775",0,"1,775",0.01%,381.44,,,
0x0442b6f5eebe3e36cc9570672ca87cfeadf88c6f,"1,767",0,"1,767",0.01%,379.63,,,
0xfd8d722756eb6d845dd992ec1e1b07f233cb3963,"1,708",0,"1,708",0.01%,366.96,,,
0x2cbb730748c6484c4262fd4258ae6760df92591a,"1,687",0,"1,687",0.01%,362.50,,,
0x4ff17953efb562c448f34323bbd1c3ab42a2434b,"1,678",0,"1,678",0.01%,360.58,,,
0x429561dc2cded2c1ebc298dc6b5f4c57cb144a6f,"1,666",0,"1,666",0.01%,357.91,,,
0x1ee23c85724d25620e03ed06bdcc00d0a62cef26,"1,665",0,"1,665",0.01%,357.85,,,
0xb434b0c931d4729d91d423a0103ebd6ab439c846,"1,097",558,"1,655",0.01%,355.59,,,
0xf9cf0606aec91e57f200643d618ac3f5f50899a7,"1,640",0,"1,640",0.01%,352.44,,,
0x8f2c46ce880c288bbf0926123814496a9842a591,"1,638",0,"1,638",0.01%,352.01,,,
0xfe2fb8587760c8d5960cb7a5ba2f2299edf10506,"1,637",0,"1,637",0.01%,351.75,,,
0xb30859a7e17e51b0bd34dcdc907b908e3f5f08ba,"1,635",0,"1,635",0.01%,351.22,,,
0x9f06f1c94fb4be3f17f54dc8f1be5c2b29bcbdfd,"1,631",0,"1,631",0.01%,350.35,,,
0xfef45b3e915f953ce386dc1db9a18b7680a9ee72,"1,629",0,"1,629",0.01%,350.03,,,
0xec6a31412aeb209d138747ff5c3313260e670057,"1,628",0,"1,628",0.01%,349.72,,,
0xc634797f4e44a368a34b2e151a7a1223a0c337dd,"1,613",0,"1,613",0.01%,346.48,,,
0xaecbb4295038162ab6fd916815b1be7ccded7312,"1,589",0,"1,589",0.01%,341.32,,,
0x53c8cef80756c434ccca99417ba95d876fbdc4c2,"1,572",0,"1,572",0.01%,337.73,,,
0x13317023bf6fe079ec1b4f2200e7b0a131be74d4,"1,563",0,"1,563",0.01%,335.90,,,
0xcf8e974d6d8aad6741a7282106a80c0e8d361992,"1,560",0,"1,560",0.01%,335.12,,,
0x198063caa870d6c6f50b36f1cba8d9cb8e2852b1,"1,554",0,"1,554",0.01%,333.94,,,
0x1386bfe8462eeb36debaf50e9364b69c7c072f1a,"1,551",0,"1,551",0.01%,333.30,,,
0x44e2c2033a71328f54590afcbabde2c45416987d,"1,541",0,"1,541",0.01%,331.15,,,
0x9132da6b039849dcf19c474ce522d1f4e06c881f,"1,538",0,"1,538",0.01%,330.44,,,
0xd63295c755f84fcd57663ea2e2f9e6fee1830139,"1,505",0,"1,505",0.01%,323.41,,,
0xf6f4ecddca0ad9bf77d44767ca08f3ba6e855da2,"1,499",0,"1,499",0.01%,322.16,,,
0x7985638da782682b20ec54249fa1cb69ee3aa04e,"1,476",0,"1,476",0.01%,317.07,,,
0x358381d47590f15dd51e2de0d53ef5ee51957ed9,"1,453",0,"1,453",0.01%,312.11,,,
0x07a92f07b414157f1b51dc6363c4e41483c9ae30,"1,450",0,"1,450",0.01%,311.51,,,
0x326f7c01f4112a0424000e16614ef8ee584df307,"1,444",0,"1,444",0.01%,310.25,,,
0x6a71e1583646d2ec1bcee6d3aec384e6aac1d61d,"1,440",0,"1,440",0.01%,309.40,,,
0x6ce9928f0f080c7ed4ae1f5940e7bca770f723c6,"1,433",0,"1,433",0.01%,307.95,,,
0x4631294a9d8c0e5db9235caf7a8448fc00244744,"1,412",0,"1,412",0.01%,303.37,,,
0x6ffff888e1b4c10ae4f798f9f0c6211285b2e819,"1,409",0,"1,409",0.01%,302.68,,,
0xcad595a1fe329695836e5f3d6b6ae33b4e9290a3,"1,406",0,"1,406",0.01%,302.10,,,
0x44d19f3da0fcb4b4dd4baaad77ad35e962f6b921,"1,402",0,"1,402",0.01%,301.15,,,
0x53569c3bf4ce68b81020ff82c30ec2fee62fbc8e,"1,398",0,"1,398",0.01%,300.46,,,
0x2875968c02147188c68c719362d9e781a34444d7,"1,395",0,"1,395",0.01%,299.81,,,
0x56c209f3238084cd9c2dce94d451ef7fa2676af1,"1,394",0,"1,394",0.01%,299.59,,,
0xec66b606c6df9a7277b68f90c74bd7c64255d86f,"1,367",0,"1,367",0.01%,293.76,,,
0xe92e30ed82151cec39da3e04fa2f0289b869ab38,"1,364",0,"1,364",0.01%,293.14,,,
0x3d23c0281e64f6870c62e14a1e9f72452d4191cf,"1,355",0,"1,355",0.00%,291.10,,,
0x1b35fcb58f5e1e2a42ff8e66ddf5646966abf08c,"1,350",0,"1,350",0.00%,290.04,,,
0x9878ab82b6aa6d2b114d9bce6b66c5a866beee84,"1,334",0,"1,334",0.00%,286.62,,,
0x77a15754f079463aa83712c8f3b014dd7de61809,"1,315",0,"1,315",0.00%,282.53,,,
0x37dd83ebde2d144bf68be9a6686a3c9bda6ff73d,"1,315",0,"1,315",0.00%,282.52,,,
0x2465cacf379edec9b850df406a6abf2767f78ad7,"1,315",0,"1,315",0.00%,282.52,,,
0x3a619a042ad04d9ae03c6bbb7262adf8769d9137,"1,312",0,"1,312",0.00%,281.98,,,
0x70e8998b3b74924b2fd1fb86d381560b33791737,"1,292",0,"1,292",0.00%,277.56,,,
0x262757e7f40c592e990b85623b73c65afa6e53a8,"1,291",0,"1,291",0.00%,277.35,,,
0x501f4860aad23ffa53992dca8316952e374eaeab,"1,289",0,"1,289",0.00%,276.88,,,
0xb2086b21c9069fb0ab38d2a2cf79938531cf3e89,"1,287",0,"1,287",0.00%,276.60,,,
0xd1ba0e59b256f7d0d1e1165092bfb19a26517e2f,"1,284",0,"1,284",0.00%,275.95,,,
0x21dc66515512921a5645f3d675ebee1184de021e,"1,275",0,"1,275",0.00%,274.06,,,
0x34e0d67eeb1d349ffcf60429d69cc26ee8640a22,"1,274",0,"1,274",0.00%,273.77,,,
0x76ff728f2a0a8766f7427b489d9465c52dee2faf,"1,257",0,"1,257",0.00%,270.09,,,
0xbc935fe9e201a158f0dca04d8729cf121c979c3d,"1,256",0,"1,256",0.00%,269.83,,,
0x78d4c94b1284d46d238c6afbbbd115385b1b36ec,"1,248",0,"1,248",0.00%,268.26,,,
0x16c5d7862f5e42b578c5b86bdf1f3887fdc0f412,"1,243",0,"1,243",0.00%,267.06,,,
0x9fb40c52a2a809852b6312b323e34febe5063769,"1,238",0,"1,238",0.00%,265.92,,,
0xa9c512135da880b83e1531ead0e125e110c519bc,"1,235",0,"1,235",0.00%,265.29,,,
0x69aaf1b6af42bc89a3900e38d68f3a5aa1b0c0c8,"1,233",0,"1,233",0.00%,264.93,,,
0xab86570d79228126a317001aa24ffcb170af07ee,"1,225",0,"1,225",0.00%,263.23,,,
0x2c6f71c8ec51331bdc617ac01bd7d941c271b546,"1,225",0,"1,225",0.00%,263.21,,,
0xe4a1d59c2e2f4044172f93493b39117ff9e49911,"1,225",0,"1,225",0.00%,263.20,,,
0x9613677ecaec456f8157b372adfd28bf63f22a5e,"1,223",0,"1,223",0.00%,262.83,,,
0x605e7d3a1e7e8b22bae0cfa7d6d877fddcc235f7,"1,220",0,"1,220",0.00%,262.14,,,
0x502b6ffbbea3950b63719310405635ca28b028db,"1,219",0,"1,219",0.00%,261.90,,,
0xeaf5a3d0d6793320dfceab1f09692e7cd14d15e3,"1,213",0,"1,213",0.00%,260.65,,,
0xcf4bba88e5103bd0cd7720ec1c04efba15eff002,"1,213",0,"1,213",0.00%,260.54,,,
0x7ce6d0f1585ac54df5a2cf00b166810a3729bd89,"1,207",0,"1,207",0.00%,259.45,,,
0x7f200eea0be888dfa45056e36ec4f24bcaad94b3,"1,207",0,"1,207",0.00%,259.39,,,
0xf4054880b73019f099d662a945ba595368de37c2,"1,207",0,"1,207",0.00%,259.34,,,
0x85b004e16dc276bd5be0c413830caabcf836e3d9,"1,205",0,"1,205",0.00%,258.91,,,
0x8016ad7a57fd087679c57e766d0cc896bf43615d,"1,200",0,"1,200",0.00%,257.94,,,
