user,from wS/stS (S),from wOS/stS (S),Total (S),Distribution %,Compensation (S),,,
0xb92246136f049607423b4c986302d407aef91a17,"58,828",0,"58,828",0.22%,"12,640.36",,,
0x7c88c73f45338e7ee38b246082ab85297f5de5f1,"58,440",0,"58,440",0.22%,"12,556.96",,,
0x2cc811f170c4c478ce26f38ba24dc2fabb9a5b17,"58,129",0,"58,129",0.21%,"12,490.06",,,
0x386cd21f45108cf4105fb93b9cf13f3870b8c0ea,"56,672",0,"56,672",0.21%,"12,176.93",,,
0xc7c1b169a8d3c5f2d6b25642c4d10da94ffcd3c9,"55,484",0,"55,484",0.20%,"11,921.86",,,
0xcf7a691ca14e7d840207ff22c47d78757e3479ab,"55,121",0,"55,121",0.20%,"11,843.72",,,
0x718f06a344bfecf6664d8d329a14dc9bb8ff2246,"51,231",0,"51,231",0.19%,"11,007.87",,,
0xd6e8f087bd2f6ae4528f89928cf39ccb103cab93,"48,196",0,"48,196",0.18%,"10,355.81",,,
0x709656752ee57c34b6c9462e598b593b71492da6,"47,766",0,"47,766",0.18%,"10,263.35",,,
0xc7cd1489c56dcc120ec7e9bff3737886b5a39968,"47,024",0,"47,024",0.17%,"10,103.93",,,
0x8507c2eb02355a2a480698274eee14d8b3813d89,"46,575",0,"46,575",0.17%,"10,007.58",,,
0x294b8de010b117c48ea93a4caf3fb02acbd06ae8,"45,940",0,"45,940",0.17%,"9,871.16",,,
0xdf9173bb4bb2184acb39638963736f70dbea8632,"45,482",0,"45,482",0.17%,"9,772.75",,,
0xdb6adb08cd839521ce471845d099b26e2d006894,"43,915",0,"43,915",0.16%,"9,435.94",,,
0x8a4c09751e70a529b920ee10c729dfdeeae090f4,"42,794",0,"42,794",0.16%,"9,195.11",,,
0x3efed426257b1493e4fad8f54361649642f5b43e,"40,172",0,"40,172",0.15%,"8,631.81",,,
0xfec4846540c01c6805b205cf1d776adab437fcdd,"38,708",0,"38,708",0.14%,"8,317.05",,,
0xb73f58bccef526e26392b7c6ace5d11509274328,"38,691",0,"38,691",0.14%,"8,313.46",,,
0x18c23d69720b2fcb36e1293f53655a5a99822301,"37,747",0,"37,747",0.14%,"8,110.74",,,
0x65877be34c0c3c3a317d97028fd91bd261410026,"37,545",0,"37,545",0.14%,"8,067.23",,,
0x7d6f06f2129dfde6b87e65528f35e6c475f02604,"36,695",0,"36,695",0.14%,"7,884.68",,,
0xce31835e3e9ebb9940fca7589eff141ccc4fbe6a,"34,937",0,"34,937",0.13%,"7,506.84",,,
0xe45f9f386c342415bcb0e27e94398071e6b84263,"34,635",0,"34,635",0.13%,"7,441.97",,,
0xcc7dd6d4d632c52694c574b79ad2a9131b9e0fd7,"15,432","18,518","33,950",0.13%,"7,294.84",,,
0x4d180af22cd72b8c6593656a0e123e0c4760e6ac,"33,562",0,"33,562",0.12%,"7,211.38",,,
0x7a43e8329a728e3265da540eba7cee753e658622,"32,749",0,"32,749",0.12%,"7,036.80",,,
0x6fd4215f83db579385ea1366dac3c40f205eedc6,"32,598",0,"32,598",0.12%,"7,004.34",,,
0x63c0d22506dd99d565d27a83307ec40d63331dd2,"31,559",0,"31,559",0.12%,"6,781.04",,,
0xc4a176e3e48280dc5f80b8da8ed0a0c5c89eb06f,"31,022",0,"31,022",0.11%,"6,665.70",,,
0xb9c44251e341d45b07aff34f376ba3e092c1c174,"30,902",0,"30,902",0.11%,"6,639.81",,,
0xcf6a0fdcd19db1b546e9b55f0dadefba434cac9f,"29,299",0,"29,299",0.11%,"6,295.49",,,
0xd6025fcdaf1291ca85d3f137044e64b55c627148,"29,242",0,"29,242",0.11%,"6,283.10",,,
0x77404a6ab39007c51596cf79671adf1ff79b111e,"29,198",0,"29,198",0.11%,"6,273.69",,,
0x76c5480ed39e1494755aa49945b202caa553d7b9,"29,147",0,"29,147",0.11%,"6,262.81",,,
0x79a8db36481fdcd7da9db7a4c667dd50855d6668,"28,861",0,"28,861",0.11%,"6,201.39",,,
0xe22477e3cbd246214ed15298352500f14de10e5e,"28,273",0,"28,273",0.10%,"6,075.01",,,
0x823d257056c4727d386bf92cb530ecbe1a0e39be,"28,180",0,"28,180",0.10%,"6,055.00",,,
0x26e8e55e3c7b23d4c8b9b19f3d06c07cd5da18dd,"27,781",0,"27,781",0.10%,"5,969.29",,,
0xa020322c958defb28d3f8c3374beb9b01a906800,"27,579",0,"27,579",0.10%,"5,925.77",,,
0xfbe75007345a5dd8a92a6fdae62e9a7da2ddac01,"27,531",0,"27,531",0.10%,"5,915.46",,,
0x3ff14a8af2e8f230cafc5999eaf40a7eb5528f46,"26,750",0,"26,750",0.10%,"5,747.79",,,
0x5882aa5d97391af0889dd4d16c3194e96a7abe00,"26,711",0,"26,711",0.10%,"5,739.45",,,
0x62243aa0bf16741ed5cdd128dc5c2311dde3efe2,"26,313",0,"26,313",0.10%,"5,653.94",,,
0x752681d43b93b9ce19083449ac484778e78137d9,"26,214",0,"26,214",0.10%,"5,632.67",,,
0x4e5b2447077fbbe3bd3d69bee701344e9ca7a8dc,"25,360",0,"25,360",0.09%,"5,448.97",,,
0xaddadf3df10bebfff7201427d50cc0448e2e6f3a,"25,053",0,"25,053",0.09%,"5,383.15",,,
0x4d625af9ff62fe8f88669d8ae5bb0a0577412b24,"24,933",0,"24,933",0.09%,"5,357.29",,,
0x31be92cd745c622133f195a63ded70f1e41d6c98,"24,415",0,"24,415",0.09%,"5,245.98",,,
0x943c4ae319fe8aca43d3e0a4882c6fc5fc2798a3,"24,398",0,"24,398",0.09%,"5,242.40",,,
0x0129bc54ac23569c2486a5c0319fff0f371653d7,"23,830",0,"23,830",0.09%,"5,120.38",,,
0xfb17d5cd85854b6bee89e714591de521f3169de5,"23,747",0,"23,747",0.09%,"5,102.52",,,
0xaa65c6b430fd87b19b99f6b61178d96a1b3de313,"23,739",0,"23,739",0.09%,"5,100.87",,,
0xb80da9748ea8f82a442500d4d33893fa3cfb620e,"23,509",0,"23,509",0.09%,"5,051.44",,,
0x99b7bd917e6db523f898b0eccf4bacea853e0f8b,"23,287",0,"23,287",0.09%,"5,003.60",,,
0x50fb7003cb9f99d7174db97a07088d94e739d097,"22,902",0,"22,902",0.08%,"4,920.87",,,
0x2bfd79cd3f1ba6516f02bcb327b57fcf93ceae19,"22,762",0,"22,762",0.08%,"4,890.82",,,
0x835e7e74ddc84befa0a4663d3d6ab1493a2c71b8,"22,614",0,"22,614",0.08%,"4,858.94",,,
0x133c4979630d1c45051b1b875e319cf6fe479743,"22,556",0,"22,556",0.08%,"4,846.50",,,
0xdd0dbf49f9a429b4033005aab085750627ba79d0,"21,733",0,"21,733",0.08%,"4,669.82",,,
0x1b4a0a529e7fc57d8c58be8e153dcc934ce8bb36,"21,630",0,"21,630",0.08%,"4,647.62",,,
0x9251fb7da3eb56fbdd606e3d48db23568b006f70,"21,467",0,"21,467",0.08%,"4,612.50",,,
0x91f616b247d4b50e3e5a688e939787b57d2754a8,"21,454",0,"21,454",0.08%,"4,609.78",,,
0xca6ff42933c0c76e9ae059b495476fad3e366494,"21,125",0,"21,125",0.08%,"4,539.17",,,
0x8f0c79a9dd517d547ec8c8c865635d82d3c0275a,"20,575",0,"20,575",0.08%,"4,421.01",,,
0x2114471f619916a52e39dc08081cb9e650e80b22,"20,558",0,"20,558",0.08%,"4,417.34",,,
0xe766ee6826437819e4b5154fe963f70def786c79,"19,684",0,"19,684",0.07%,"4,229.52",,,
0x2aa04c4c27bf596736902020520490896da661f9,"19,345",0,"19,345",0.07%,"4,156.74",,,
0x54a7a53d98b66938da57a1d6e28989a195de1344,"18,976",0,"18,976",0.07%,"4,077.32",,,
0x865fcda847083c81e9c3fdf0e4612e13bf5086dc,"18,890",0,"18,890",0.07%,"4,058.94",,,
0x1a6bb6b19581923c45258644df48b5c49d043dc5,"18,660",0,"18,660",0.07%,"4,009.46",,,
0x4c9809e21e777972489d47dec0574844b8e77caa,"18,512",0,"18,512",0.07%,"3,977.65",,,
0x845c2d4c793c33561c7cea276d99f4d51a9ab52d,"18,146",0,"18,146",0.07%,"3,898.91",,,
0xbd13f7f67b87a43330f83fcca5189e4ce66f6024,0,"17,838","17,838",0.07%,"3,832.80",,,
0x4183dd2af1b4a79a40e7c62f75c088676becd712,"17,573",0,"17,573",0.06%,"3,775.88",,,
0x36c4c53bb6b0b8c59e98b35a1eabb5d43b5bc27f,"17,552",0,"17,552",0.06%,"3,771.30",,,
0xb6ff867a0de3577b3891d349ff43b83284505e00,"17,492",0,"17,492",0.06%,"3,758.38",,,
0xf41927529ed437710e7a5b9cc92362165a2f2d61,"17,391",0,"17,391",0.06%,"3,736.79",,,
0x41a6ac7f4e4dbffeb934f95f1db58b68c76dc4df,"17,350",0,"17,350",0.06%,"3,727.90",,,
0x5da5e8d2af5271baa5daf26fefb57104dd35c019,"17,086",0,"17,086",0.06%,"3,671.27",,,
0x3cca3bdc32351219a4fd0778039582666eb2f037,"16,928",0,"16,928",0.06%,"3,637.30",,,
0xf54eeeb761f18da84a0c8162484ed32b7d490716,"16,850",0,"16,850",0.06%,"3,620.52",,,
0x68aedee7dc9da33a1e7d32a6637361e409c40519,"16,747",0,"16,747",0.06%,"3,598.40",,,
0x34e414f0012d869c95e1784407b9ffaeb3d34ecd,"16,558",0,"16,558",0.06%,"3,557.72",,,
0x6e5e3ce13e2c7d4de000f93c4909164d0aa59f0b,"15,913",0,"15,913",0.06%,"3,419.29",,,
0xe5f17dbfe0279342cf55683006c337ab92625509,"15,476",0,"15,476",0.06%,"3,325.28",,,
0xcb154f36e69ae26a96942f7a1ebaf3d181a082df,"15,231",0,"15,231",0.06%,"3,272.69",,,
0x96e87decd66d710369cd32851add8ff89534f8ea,"15,121",0,"15,121",0.06%,"3,249.12",,,
0xdd4b0a9a31ab3a67af06553402eaee1dd49b9f5a,"14,901",0,"14,901",0.05%,"3,201.72",,,
0x0395c174b14bd76564076a282411e72076a45012,"14,828",0,"14,828",0.05%,"3,186.18",,,
0x0ad4bf2c351e66691da129cc54a0d3b8beb7f7a2,"14,740",0,"14,740",0.05%,"3,167.25",,,
0x441921132b11fdc628f25fe80d7369143fa6c18e,"14,735",0,"14,735",0.05%,"3,166.14",,,
0x1d7d5d1c5a2e36ecc47a784be757c6438139ee53,"14,466",0,"14,466",0.05%,"3,108.38",,,
0xf4e3ed36c5785a426b90a6309c5f78b3de1f92d8,"14,373",0,"14,373",0.05%,"3,088.24",,,
0x4a49a96c128603ae5224cfaeab04c0a21197da3d,"14,297",0,"14,297",0.05%,"3,071.91",,,
0x9b1d95c93ecd5ec23bc883fa9899cfda8e38779a,"14,275",0,"14,275",0.05%,"3,067.15",,,
0x683a5306e38c02c81b84303a816a2046259168de,"14,255",0,"14,255",0.05%,"3,062.94",,,
